image,method,domain,class,hit
2008_000554.jpg,Grad-CAM++,Object Detection,person,0
2008_000555.jpg,Grad-CAM++,Object Detection,person,1
2008_000556.jpg,Grad-CAM++,Object Detection,bird,0
2008_000557.jpg,Grad-CAM++,Object Detection,person,1
2008_000560.jpg,Grad-CAM++,Object Detection,person,0
2008_000565.jpg,Grad-CAM++,Object Detection,bird,1
2008_000570.jpg,Grad-CAM++,Object Detection,person,1
2008_000571.jpg,Grad-CAM++,Object Detection,person,1
2008_000574.jpg,Grad-CAM++,Object Detection,person,0
2008_000575.jpg,Grad-CAM++,Object Detection,person,0
2008_000576.jpg,Grad-CAM++,Object Detection,person,1
2008_000577.jpg,Grad-CAM++,Object Detection,person,0
2008_000580.jpg,Grad-CAM++,Object Detection,cat,1
2008_000582.jpg,Grad-CAM++,Object Detection,car,0
2008_000586.jpg,Grad-CAM++,Object Detection,person,1
2008_000587.jpg,Grad-CAM++,Object Detection,person,0
2008_000590.jpg,Grad-CAM++,Object Detection,boat,0
2008_000591.jpg,Grad-CAM++,Object Detection,dog,1
2008_000592.jpg,Grad-CAM++,Object Detection,book,0
2008_000593.jpg,Grad-CAM++,Object Detection,person,0
2008_000594.jpg,Grad-CAM++,Object Detection,person,1
2008_000596.jpg,Grad-CAM++,Object Detection,dog,1
2008_000597.jpg,Grad-CAM++,Object Detection,person,0
2008_000598.jpg,Grad-CAM++,Object Detection,car,0
2008_000600.jpg,Grad-CAM++,Object Detection,cat,1
2008_000601.jpg,Grad-CAM++,Object Detection,cow,1
2008_000603.jpg,Grad-CAM++,Object Detection,laptop,1
2008_000604.jpg,Grad-CAM++,Object Detection,cat,0
2008_000606.jpg,Grad-CAM++,Object Detection,person,0
2008_000608.jpg,Grad-CAM++,Object Detection,person,1
2008_000610.jpg,Grad-CAM++,Object Detection,person,1
2008_000611.jpg,Grad-CAM++,Object Detection,person,0
2008_000612.jpg,Grad-CAM++,Object Detection,bicycle,1
2008_000616.jpg,Grad-CAM++,Object Detection,person,1
2008_000617.jpg,Grad-CAM++,Object Detection,person,0
2008_000618.jpg,Grad-CAM++,Object Detection,person,0
2008_000621.jpg,Grad-CAM++,Object Detection,train,1
2008_000624.jpg,Grad-CAM++,Object Detection,person,1
2008_000625.jpg,Grad-CAM++,Object Detection,person,0
2008_000627.jpg,Grad-CAM++,Object Detection,bowl,0
2008_000631.jpg,Grad-CAM++,Object Detection,person,0
2008_000632.jpg,Grad-CAM++,Object Detection,person,1
2008_000633.jpg,Grad-CAM++,Object Detection,horse,0
2008_000635.jpg,Grad-CAM++,Object Detection,person,1
2008_000637.jpg,Grad-CAM++,Object Detection,person,1
2008_000638.jpg,Grad-CAM++,Object Detection,person,0
2008_000639.jpg,Grad-CAM++,Object Detection,person,0
2008_000642.jpg,Grad-CAM++,Object Detection,person,1
2008_000643.jpg,Grad-CAM++,Object Detection,person,0
2008_000644.jpg,Grad-CAM++,Object Detection,person,1
2008_000649.jpg,Grad-CAM++,Object Detection,person,0
2008_000651.jpg,Grad-CAM++,Object Detection,person,0
2008_000653.jpg,Grad-CAM++,Object Detection,person,1
2008_000654.jpg,Grad-CAM++,Object Detection,person,1
2008_000658.jpg,Grad-CAM++,Object Detection,person,1
2008_000663.jpg,Grad-CAM++,Object Detection,person,1
2008_000664.jpg,Grad-CAM++,Object Detection,person,1
2008_000665.jpg,Grad-CAM++,Object Detection,car,0
2008_000667.jpg,Grad-CAM++,Object Detection,person,1
2008_000668.jpg,Grad-CAM++,Object Detection,person,0
2008_000671.jpg,Grad-CAM++,Object Detection,person,0
2008_000675.jpg,Grad-CAM++,Object Detection,person,0
2008_000679.jpg,Grad-CAM++,Object Detection,person,1
2008_000680.jpg,Grad-CAM++,Object Detection,train,1
2008_000681.jpg,Grad-CAM++,Object Detection,bicycle,1
2008_000682.jpg,Grad-CAM++,Object Detection,keyboard,0
2008_000684.jpg,Grad-CAM++,Object Detection,dog,0
2008_000685.jpg,Grad-CAM++,Object Detection,dog,1
2008_000686.jpg,Grad-CAM++,Object Detection,chair,1
2008_000687.jpg,Grad-CAM++,Object Detection,truck,1
2008_000688.jpg,Grad-CAM++,Object Detection,person,0
2008_000692.jpg,Grad-CAM++,Object Detection,person,1
2008_000693.jpg,Grad-CAM++,Object Detection,person,1
2008_000698.jpg,Grad-CAM++,Object Detection,book,0
2008_000701.jpg,Grad-CAM++,Object Detection,person,0
2008_000702.jpg,Grad-CAM++,Object Detection,person,1
2008_000707.jpg,Grad-CAM++,Object Detection,person,1
2008_000709.jpg,Grad-CAM++,Object Detection,bed,1
2008_000710.jpg,Grad-CAM++,Object Detection,bird,1
2008_000712.jpg,Grad-CAM++,Object Detection,horse,1
2008_000713.jpg,Grad-CAM++,Object Detection,person,0
2008_000715.jpg,Grad-CAM++,Object Detection,person,0
2008_000717.jpg,Grad-CAM++,Object Detection,person,0
2008_000718.jpg,Grad-CAM++,Object Detection,person,1
2008_000720.jpg,Grad-CAM++,Object Detection,person,1
2008_000722.jpg,Grad-CAM++,Object Detection,cat,0
2008_000728.jpg,Grad-CAM++,Object Detection,person,1
2008_000730.jpg,Grad-CAM++,Object Detection,person,1
2008_000735.jpg,Grad-CAM++,Object Detection,person,0
2008_000736.jpg,Grad-CAM++,Object Detection,person,0
2008_000738.jpg,Grad-CAM++,Object Detection,person,1
2008_000739.jpg,Grad-CAM++,Object Detection,person,1
2008_000743.jpg,Grad-CAM++,Object Detection,horse,1
2008_000744.jpg,Grad-CAM++,Object Detection,bed,1
2008_000746.jpg,Grad-CAM++,Object Detection,car,0
2008_000747.jpg,Grad-CAM++,Object Detection,person,0
2008_000749.jpg,Grad-CAM++,Object Detection,horse,1
2008_000750.jpg,Grad-CAM++,Object Detection,person,1
2008_000751.jpg,Grad-CAM++,Object Detection,orange,0
2008_000752.jpg,Grad-CAM++,Object Detection,person,1
2008_000754.jpg,Grad-CAM++,Object Detection,person,1
2008_000755.jpg,Grad-CAM++,Object Detection,car,0
2008_000757.jpg,Grad-CAM++,Object Detection,person,0
2008_000759.jpg,Grad-CAM++,Object Detection,teddy bear,0
2008_000762.jpg,Grad-CAM++,Object Detection,person,0
2008_000766.jpg,Grad-CAM++,Object Detection,person,0
2008_000767.jpg,Grad-CAM++,Object Detection,person,1
2008_000768.jpg,Grad-CAM++,Object Detection,cat,1
2008_000770.jpg,Grad-CAM++,Object Detection,vase,0
2008_000771.jpg,Grad-CAM++,Object Detection,person,1
2008_000772.jpg,Grad-CAM++,Object Detection,person,0
2008_000773.jpg,Grad-CAM++,Object Detection,person,0
2008_000774.jpg,Grad-CAM++,Object Detection,boat,1
2008_000779.jpg,Grad-CAM++,Object Detection,person,0
2008_000781.jpg,Grad-CAM++,Object Detection,tv,0
2008_000784.jpg,Grad-CAM++,Object Detection,person,0
2008_000786.jpg,Grad-CAM++,Object Detection,person,1
2008_000789.jpg,Grad-CAM++,Object Detection,person,1
2008_000791.jpg,Grad-CAM++,Object Detection,car,1
2008_000794.jpg,Grad-CAM++,Object Detection,cat,0
2008_000797.jpg,Grad-CAM++,Object Detection,bed,1
2008_000799.jpg,Grad-CAM++,Object Detection,person,1
2008_000800.jpg,Grad-CAM++,Object Detection,person,1
2008_000802.jpg,Grad-CAM++,Object Detection,chair,0
2008_000807.jpg,Grad-CAM++,Object Detection,person,0
2008_000810.jpg,Grad-CAM++,Object Detection,bowl,0
2008_000812.jpg,Grad-CAM++,Object Detection,person,0
2008_000813.jpg,Grad-CAM++,Object Detection,cow,1
2008_000816.jpg,Grad-CAM++,Object Detection,airplane,1
2008_000818.jpg,Grad-CAM++,Object Detection,person,0
2008_000819.jpg,Grad-CAM++,Object Detection,car,0
2008_000820.jpg,Grad-CAM++,Object Detection,person,0
2008_000821.jpg,Grad-CAM++,Object Detection,person,0
2008_000822.jpg,Grad-CAM++,Object Detection,person,1
2008_000823.jpg,Grad-CAM++,Object Detection,motorcycle,1
2008_000826.jpg,Grad-CAM++,Object Detection,person,0
2008_000827.jpg,Grad-CAM++,Object Detection,bird,0
2008_000830.jpg,Grad-CAM++,Object Detection,person,0
2008_000831.jpg,Grad-CAM++,Object Detection,chair,0
2008_000836.jpg,Grad-CAM++,Object Detection,dog,1
2008_000838.jpg,Grad-CAM++,Object Detection,person,0
2008_000840.jpg,Grad-CAM++,Object Detection,person,0
2008_000845.jpg,Grad-CAM++,Object Detection,dog,0
2008_000846.jpg,Grad-CAM++,Object Detection,bird,0
2008_000850.jpg,Grad-CAM++,Object Detection,person,1
2008_000852.jpg,Grad-CAM++,Object Detection,person,0
2008_000855.jpg,Grad-CAM++,Object Detection,bicycle,0
2008_000856.jpg,Grad-CAM++,Object Detection,person,1
2008_000859.jpg,Grad-CAM++,Object Detection,person,0
2008_000865.jpg,Grad-CAM++,Object Detection,tv,0
2008_000866.jpg,Grad-CAM++,Object Detection,person,1
2008_000869.jpg,Grad-CAM++,Object Detection,person,0
2008_000871.jpg,Grad-CAM++,Object Detection,cat,1
2008_000872.jpg,Grad-CAM++,Object Detection,cat,1
2008_000874.jpg,Grad-CAM++,Object Detection,laptop,0
2008_000877.jpg,Grad-CAM++,Object Detection,person,1
2008_000879.jpg,Grad-CAM++,Object Detection,person,1
2008_000882.jpg,Grad-CAM++,Object Detection,person,1
2008_000886.jpg,Grad-CAM++,Object Detection,person,1
2008_000888.jpg,Grad-CAM++,Object Detection,train,0
2008_000889.jpg,Grad-CAM++,Object Detection,bear,1
2008_000890.jpg,Grad-CAM++,Object Detection,person,0
2008_000891.jpg,Grad-CAM++,Object Detection,dog,0
2008_000892.jpg,Grad-CAM++,Object Detection,car,0
2008_000893.jpg,Grad-CAM++,Object Detection,person,1
2008_000894.jpg,Grad-CAM++,Object Detection,tv,0
2008_000895.jpg,Grad-CAM++,Object Detection,airplane,1
2008_000896.jpg,Grad-CAM++,Object Detection,person,0
2008_000898.jpg,Grad-CAM++,Object Detection,person,0
2008_000903.jpg,Grad-CAM++,Object Detection,person,0
2008_000906.jpg,Grad-CAM++,Object Detection,person,0
2008_000907.jpg,Grad-CAM++,Object Detection,car,0
2008_000909.jpg,Grad-CAM++,Object Detection,sheep,0
2008_000913.jpg,Grad-CAM++,Object Detection,dog,1
2008_000918.jpg,Grad-CAM++,Object Detection,bird,0
2008_000920.jpg,Grad-CAM++,Object Detection,cow,1
2008_000921.jpg,Grad-CAM++,Object Detection,person,1
2008_000925.jpg,Grad-CAM++,Object Detection,person,0
2008_000927.jpg,Grad-CAM++,Object Detection,person,0
2008_000929.jpg,Grad-CAM++,Object Detection,horse,1
2008_000930.jpg,Grad-CAM++,Object Detection,car,0
2008_000932.jpg,Grad-CAM++,Object Detection,dog,1
2008_000933.jpg,Grad-CAM++,Object Detection,train,1
2008_000935.jpg,Grad-CAM++,Object Detection,dog,1
2008_000937.jpg,Grad-CAM++,Object Detection,fire hydrant,0
2008_000938.jpg,Grad-CAM++,Object Detection,sheep,1
2008_000945.jpg,Grad-CAM++,Object Detection,elephant,1
2008_000946.jpg,Grad-CAM++,Object Detection,person,0
2008_000947.jpg,Grad-CAM++,Object Detection,person,0
2008_000948.jpg,Grad-CAM++,Object Detection,person,0
2008_000949.jpg,Grad-CAM++,Object Detection,person,0
2008_000951.jpg,Grad-CAM++,Object Detection,person,1
2008_000954.jpg,Grad-CAM++,Object Detection,dog,0
2008_000955.jpg,Grad-CAM++,Object Detection,dog,0
2008_000958.jpg,Grad-CAM++,Object Detection,dog,1
2008_000961.jpg,Grad-CAM++,Object Detection,bird,0
2008_000962.jpg,Grad-CAM++,Object Detection,person,0
2008_000963.jpg,Grad-CAM++,Object Detection,bicycle,1
2008_000966.jpg,Grad-CAM++,Object Detection,person,1
2008_000967.jpg,Grad-CAM++,Object Detection,cat,1
2008_000968.jpg,Grad-CAM++,Object Detection,person,0
2008_000969.jpg,Grad-CAM++,Object Detection,person,1
2008_000974.jpg,Grad-CAM++,Object Detection,couch,0
2008_000975.jpg,Grad-CAM++,Object Detection,cake,0
